id,abstract,torch,mindspore,paddle,jittor,tensorflow
1,adaptiveavgpool1d,torch.nn.AdaptiveAvgPool1d,mindspore.nn.AdaptiveAvgPool1d,paddle.nn.AdaptiveAvgPool1D,,
2,adaptiveavgpool2d,torch.nn.AdaptiveAvgPool2d,mindspore.nn.AdaptiveAvgPool2d,paddle.nn.AdaptiveAvgPool2D,jittor.nn.AdaptiveAvgPool2d,
3,adaptiveavgpool3d,torch.nn.AdaptiveAvgPool3d,mindspore.nn.AdaptiveAvgPool3d,paddle.nn.AdaptiveAvgPool3D,jittor.nn.AdaptiveAvgPool3d,
4,adaptivelogsoftmaxwithloss,torch.nn.AdaptiveLogSoftmaxWithLoss,,,,
5,adaptivemaxpool1d,torch.nn.AdaptiveMaxPool1d,mindspore.nn.AdaptiveMaxPool1d,paddle.nn.AdaptiveMaxPool1D,,
6,adaptivemaxpool2d,torch.nn.AdaptiveMaxPool2d,mindspore.nn.AdaptiveMaxPool2d,paddle.nn.AdaptiveMaxPool2D,jittor.nn.AdaptiveMaxPool2d,
7,adaptivemaxpool3d,torch.nn.AdaptiveMaxPool3d,mindspore.nn.AdaptiveMaxPool3d,paddle.nn.AdaptiveMaxPool3D,jittor.nn.AdaptiveMaxPool3d,
8,alphadropout,torch.nn.AlphaDropout,,paddle.nn.AlphaDropout,,tf.keras.layers.AlphaDropout
9,avgpool1d,torch.nn.AvgPool1d,mindspore.nn.AvgPool1d,paddle.nn.AvgPool1D,,tf.keras.layers.AveragePooling1D
10,avgpool2d,torch.nn.AvgPool2d,mindspore.nn.AvgPool2d,paddle.nn.AvgPool2D,jittor.nn.AvgPool2d,tf.keras.layers.AveragePooling2D
11,avgpool3d,torch.nn.AvgPool3d,mindspore.nn.AvgPool3d,paddle.nn.AvgPool3D,jittor.nn.AvgPool3d,tf.keras.layers.AveragePooling3D
12,basepruningmethod,torch.nn.utils.prune.BasePruningMethod,,,,
13,batchnorm1d,torch.nn.BatchNorm1d,mindspore.nn.BatchNorm1d,paddle.nn.BatchNorm1D,jittor.nn.BatchNorm1d,
14,batchnorm2d,torch.nn.BatchNorm2d,mindspore.nn.BatchNorm2d,paddle.nn.BatchNorm2D,jittor.nn.BatchNorm2d,tf.keras.layers.BatchNormalization
15,batchnorm3d,torch.nn.BatchNorm3d,mindspore.nn.BatchNorm3d,paddle.nn.BatchNorm3D,jittor.nn.BatchNorm3d,
16,bceloss,torch.nn.BCELoss,mindspore.nn.BCELoss,,,
17,bcewithlogitsloss,torch.nn.BCEWithLogitsLoss,mindspore.nn.BCEWithLogitsLoss,,,
18,bilinear,torch.nn.Bilinear,,paddle.nn.Bilinear,jittor.nn.Bilinear,
19,cached,torch.nn.utils.parametrize.cached,,,,
20,celu,torch.nn.CELU,mindspore.nn.CELU,paddle.nn.CELU,,
21,channelshuffle,torch.nn.ChannelShuffle,mindspore.nn.ChannelShuffle,paddle.nn.ChannelShuffle,,
22,clip_grad_norm_,torch.nn.utils.clip_grad_norm_,,,,
23,clip_grad_value_,torch.nn.utils.clip_grad_value_,,,,
24,constantpad1d,torch.nn.ConstantPad1d,mindspore.nn.ConstantPad1d,,,
25,constantpad2d,torch.nn.ConstantPad2d,mindspore.nn.ConstantPad2d,,jittor.nn.ConstantPad2d,
26,constantpad3d,torch.nn.ConstantPad3d,mindspore.nn.ConstantPad3d,,,
27,conv1d,torch.nn.Conv1d,mindspore.nn.Conv1d,paddle.nn.Conv1D,jittor.nn.Conv1d,tf.keras.layers.Conv1D
28,conv2d,torch.nn.Conv2d,mindspore.nn.Conv2d,paddle.nn.Conv2D,jittor.nn.Conv2d,tf.keras.layers.Conv2D
29,conv3d,torch.nn.Conv3d,mindspore.nn.Conv3d,paddle.nn.Conv3D,jittor.nn.Conv3d,tf.keras.layers.Conv3D
30,convtranspose1d,torch.nn.ConvTranspose1d,mindspore.nn.Conv1dTranspose,paddle.nn.Conv1DTranspose,,tf.keras.layers.Conv1DTranspose
31,convtranspose2d,torch.nn.ConvTranspose2d,mindspore.nn.Conv2dTranspose,paddle.nn.Conv2DTranspose,jittor.nn.ConvTranspose2d,tf.keras.layers.Conv2DTranspose
32,convtranspose3d,torch.nn.ConvTranspose3d,mindspore.nn.Conv3dTranspose,paddle.nn.Conv3DTranspose,jittor.nn.ConvTranspose3d,tf.keras.layers.Conv3DTranspose
33,cosineembeddingloss,torch.nn.CosineEmbeddingLoss,mindspore.nn.CosineEmbeddingLoss,,,
34,cosinesimilarity,torch.nn.CosineSimilarity,,paddle.nn.CosineSimilarity,,
35,crossentropyloss,torch.nn.CrossEntropyLoss,mindspore.nn.CrossEntropyLoss,,,
36,ctcloss,torch.nn.CTCLoss,mindspore.nn.CTCLoss,,,
37,custom_from_mask,torch.nn.utils.prune.custom_from_mask,,,,
38,customfrommask,torch.nn.utils.prune.CustomFromMask,,,,
39,dataparallel,torch.nn.DataParallel,,,,
40,distributeddataparallel,torch.nn.parallel.DistributedDataParallel,,,,
41,dropout,torch.nn.Dropout,mindspore.nn.Dropout,paddle.nn.Dropout,jittor.nn.Dropout,tf.keras.layers.Dropout
42,dropout1d,torch.nn.Dropout1d,mindspore.nn.Dropout1d,,,tf.keras.layers.Dropout
43,dropout2d,torch.nn.Dropout2d,mindspore.nn.Dropout2d,paddle.nn.Dropout2D,jittor.nn.Dropout2d,tf.keras.layers.Dropout
44,dropout3d,torch.nn.Dropout3d,mindspore.nn.Dropout3d,paddle.nn.Dropout3D,,tf.keras.layers.Dropout
45,elu,torch.nn.ELU,mindspore.nn.ELU,paddle.nn.ELU,jittor.nn.ELU,tf.keras.layers.ELU
46,embedding,torch.nn.Embedding,mindspore.nn.Embedding,paddle.nn.Embedding,jittor.nn.Embedding,tf.keras.layers.Embedding
47,embeddingbag,torch.nn.EmbeddingBag,,,,
48,featurealphadropout,torch.nn.FeatureAlphaDropout,,,,
49,flatten,torch.nn.Flatten,mindspore.nn.Flatten,paddle.nn.Flatten,jittor.nn.Flatten,tf.keras.layers.Flatten
50,fold,torch.nn.Fold,,paddle.nn.Fold,,
51,fractionalmaxpool2d,torch.nn.FractionalMaxPool2d,,,,
52,fractionalmaxpool3d,torch.nn.FractionalMaxPool3d,mindspore.nn.FractionalMaxPool3d,,,
