id,abstract,torch,paddle,mindspore
1,adaptivemaxpool2d,torch.nn.AdaptiveMaxPool2d,paddle.nn.AdaptiveMaxPool2D,mindspore.nn.AdaptiveMaxPool2d
2,avgpool2d,torch.nn.AvgPool2d,paddle.nn.AvgPool2D,mindspore.nn.AvgPool2d
3,batchnorm2d,torch.nn.BatchNorm2d,paddle.nn.BatchNorm2D,mindspore.nn.BatchNorm2d
4,celu,torch.nn.CELU,paddle.nn.CELU,mindspore.nn.CELU
5,conv2d,torch.nn.Conv2d,paddle.nn.Conv2D,mindspore.nn.Conv2d
6,convtranspose2d,torch.nn.ConvTranspose2d,paddle.nn.Conv2DTranspose,mindspore.nn.Conv2dTranspose
7,dropout,torch.nn.Dropout,paddle.nn.Dropout,mindspore.nn.Dropout
8,dropout2d,torch.nn.Dropout2d,paddle.nn.Dropout2D,mindspore.nn.Dropout2d
9,elu,torch.nn.ELU,paddle.nn.ELU,mindspore.nn.ELU
10,groupnorm,torch.nn.GroupNorm,paddle.nn.GroupNorm,mindspore.nn.GroupNorm
11,hardshrink,torch.nn.Hardshrink,paddle.nn.Hardshrink,mindspore.nn.HShrink
12,hardtanh,torch.nn.Hardtanh,paddle.nn.Hardtanh,mindspore.nn.Hardtanh
13,instancenorm2d,torch.nn.InstanceNorm2d,paddle.nn.InstanceNorm2D,mindspore.nn.InstanceNorm2d
14,layernorm,torch.nn.LayerNorm,paddle.nn.LayerNorm,mindspore.nn.LayerNorm
15,leakyrelu,torch.nn.LeakyReLU,paddle.nn.LeakyReLU,mindspore.nn.LeakyReLU
16,linear,torch.nn.Linear,paddle.nn.Linear,mindspore.nn.Dense
17,logsoftmax,torch.nn.LogSoftmax,paddle.nn.LogSoftmax,mindspore.nn.LogSoftmax
18,maxpool2d,torch.nn.MaxPool2d,paddle.nn.MaxPool2D,mindspore.nn.MaxPool2d
19,prelu,torch.nn.PReLU,paddle.nn.PReLU,mindspore.nn.PReLU
20,relu,torch.nn.ReLU,paddle.nn.ReLU,mindspore.nn.ReLU
21,relu6,torch.nn.ReLU6,paddle.nn.ReLU6,mindspore.nn.ReLU6
22,rrelu,torch.nn.RReLU,paddle.nn.RReLU,mindspore.nn.RReLU
23,selu,torch.nn.SELU,paddle.nn.SELU,mindspore.nn.SeLU
24,softmax,torch.nn.Softmax,paddle.nn.Softmax,mindspore.nn.Softmax
25,zeropad2d,torch.nn.ZeroPad2d,paddle.nn.ZeroPad2D,mindspore.nn.ZeroPad2d
